
03.10.2016	14:10:00
V	I	G
[V]	[A]	[W/m²]
19,5173	0,4243	807,2034
19,5655	0,3903	807,0970
19,6361	0,3605	807,1325
19,7004	0,3329	807,2034
19,6875	0,3077	807,2389
19,7389	0,2835	807,3098
19,7421	0,2625	807,3098
19,7357	0,2432	807,2389
19,7485	0,2253	807,1325
19,8063	0,2085	807,1679
19,7871	0,1958	807,1325
19,8160	0,1821	807,0970
19,8706	0,1701	807,2034
19,8706	0,1589	807,3452
19,8384	0,1476	807,1679
19,8352	0,1371	807,1679
19,8802	0,1312	807,2034
19,8417	0,1227	807,0970
19,8802	0,1146	807,2034
19,9187	0,1092	807,2389
19,9284	0,1041	807,3807
19,9091	0,0973	807,3807
19,9316	0,0912	807,3452
19,9123	0,0877	807,3098
19,8609	0,0821	807,1325
19,9155	0,0787	807,1325
19,9540	0,0753	807,1325
19,9540	0,0726	807,1679
19,9829	0,0684	807,1679
19,9829	0,0670	807,3098
19,9444	0,0635	807,2389
19,9380	0,0606	807,1679
19,9637	0,0572	807,1679
